TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2022,1,29,9,30,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,1,29,13,30,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,2,4,13,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,2,20,14,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,4,5,13,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,5,11,17,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,6,6,14,2,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,6,7,14,30,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,6,10,15,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,6,24,15,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,6,30,9,55,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,8,11,13,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,8,21,8,15,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,8,22,15,15,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,9,1,14,45,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,9,11,14,45,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,9,14,15,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,9,21,11,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,11,1,17,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,11,19,12,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,12,28,15,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2022,1,24,17,0,1X E HASTINGS ST,Central Business District,492437.4567,5458753.1992
Theft from Vehicle,2022,3,14,12,30,1X W CORDOVA ST,Central Business District,492380.937,5458873.7949
Theft from Vehicle,2022,5,22,16,0,1X W CORDOVA ST,Central Business District,492395.0314,5458869.5244
Theft from Vehicle,2022,3,20,21,0,1XX ABBOTT ST,Central Business District,492265.3624,5459064.081
Theft from Vehicle,2022,8,28,2,0,1XX ABBOTT ST,Central Business District,492265.7232,5459021.3332
Theft from Vehicle,2022,10,9,9,0,1XX ABBOTT ST,Central Business District,492271.3311,5459048.0216
Theft from Vehicle,2022,9,26,6,20,1XX ABBOTT ST,Central Business District,492274.3109,5459062.2004
Theft from Vehicle,2022,7,1,17,21,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2022,10,15,8,15,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2022,12,9,10,50,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2022,12,11,17,40,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2022,1,29,18,30,1XX ALEXANDER ST,Central Business District,492580.9132,5459007.4397
Theft from Vehicle,2022,11,13,9,10,1XX ALEXANDER ST,Central Business District,492580.9132,5459007.4397
Theft from Vehicle,2022,3,13,18,0,1XX ALEXANDER ST,Central Business District,492669.106,5459030.3615
Theft from Vehicle,2022,5,23,17,0,1XX ALEXANDER ST,Central Business District,492718.8768,5459037.8631
Theft from Vehicle,2022,7,27,9,0,1XX ALEXANDER ST,Central Business District,492747.093,5459047.9143
Theft from Vehicle,2022,8,30,7,0,1XX ALEXANDER ST,Central Business District,492747.093,5459047.9143
Theft from Vehicle,2022,8,20,21,0,1XX AQUARIUS MEWS,Central Business District,491339.1621,5457905.9702
Theft from Vehicle,2022,8,21,19,0,1XX AQUARIUS MEWS,Central Business District,491348.7826,5457906.3918
Theft from Vehicle,2022,3,7,11,30,1XX AQUARIUS MEWS,Central Business District,491356.2937,5457860.8351
Theft from Vehicle,2022,3,19,18,7,1XX COLUMBIA ST,Central Business District,492574.7124,5459008.5986
Theft from Vehicle,2022,5,27,23,0,1XX COLUMBIA ST,Central Business District,492574.7124,5459008.5986
Theft from Vehicle,2022,8,6,21,0,1XX DAVIE ST,Central Business District,491196.5352,5457914.7151
Theft from Vehicle,2022,7,31,21,3,1XX DAVIE ST,Central Business District,491205.6576,5457905.2804
Theft from Vehicle,2022,3,7,8,54,1XX DAVIE ST,Central Business District,491207.4821,5457903.3934
Theft from Vehicle,2022,10,3,6,30,1XX DAVIE ST,Central Business District,491207.4821,5457903.3934
Theft from Vehicle,2022,8,5,23,0,1XX DAVIE ST,Central Business District,491263.0873,5457816.8748
Theft from Vehicle,2022,6,24,12,0,1XX DRAKE ST,Central Business District,491014.4742,5457858.2908
Theft from Vehicle,2022,11,22,5,0,1XX DRAKE ST,Central Business District,491014.4742,5457858.2908
Theft from Vehicle,2022,7,28,1,0,1XX DRAKE ST,Central Business District,491126.8091,5457748.2479
Theft from Vehicle,2022,8,17,8,0,1XX DRAKE ST,Central Business District,491126.8091,5457748.2479
Theft from Vehicle,2022,1,31,16,37,1XX DUNSMUIR ST,Central Business District,491956.975,5458580.5674
Theft from Vehicle,2022,6,9,11,30,1XX DUNSMUIR ST,Central Business District,491958.3275,5458579.253
Theft from Vehicle,2022,7,4,20,0,1XX DUNSMUIR ST,Central Business District,491958.3275,5458579.253
Theft from Vehicle,2022,7,17,17,0,1XX DUNSMUIR ST,Central Business District,491958.3275,5458579.253
Theft from Vehicle,2022,9,16,10,0,1XX DUNSMUIR ST,Central Business District,491958.3275,5458579.253
Theft from Vehicle,2022,11,10,8,0,1XX DUNSMUIR ST,Central Business District,491958.3275,5458579.253
Theft from Vehicle,2022,3,14,21,50,1XX E CORDOVA ST,Central Business District,492569.3686,5458843.9296
Theft from Vehicle,2022,7,1,0,30,1XX E CORDOVA ST,Central Business District,492569.3686,5458843.9296
Theft from Vehicle,2022,8,29,17,0,1XX E CORDOVA ST,Central Business District,492569.3686,5458843.9296
Theft from Vehicle,2022,10,22,8,48,1XX E CORDOVA ST,Central Business District,492569.3686,5458843.9296
Theft from Vehicle,2022,6,6,22,3,1XX E CORDOVA ST,Central Business District,492573.3083,5458852.9415
Theft from Vehicle,2022,2,7,1,19,1XX E CORDOVA ST,Central Business District,492574.641,5458843.7457
Theft from Vehicle,2022,2,17,0,0,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,4,9,19,30,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,4,10,5,11,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,6,14,8,46,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,6,29,16,58,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,7,1,20,15,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,7,30,9,30,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,9,3,16,26,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,4,24,9,47,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,7,4,1,0,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,8,19,3,6,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,8,22,23,0,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,9,18,10,39,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,9,28,21,37,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,10,4,11,30,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,11,23,6,10,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,12,24,0,0,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,12,24,19,0,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,12,24,19,5,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2022,1,6,19,20,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2022,3,3,6,30,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2022,3,28,21,47,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2022,4,8,19,15,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2022,12,15,17,35,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2022,10,25,6,45,1XX E CORDOVA ST,Central Business District,492602.2727,5458851.93
Theft from Vehicle,2022,4,29,6,0,1XX E CORDOVA ST,Central Business District,492606.1449,5458851.795
Theft from Vehicle,2022,3,5,23,0,1XX E CORDOVA ST,Central Business District,492659.8823,5458840.7683
Theft from Vehicle,2022,5,29,21,40,1XX E CORDOVA ST,Central Business District,492659.8823,5458840.7683
Theft from Vehicle,2022,6,29,20,50,1XX E CORDOVA ST,Central Business District,492660.2014,5458849.9068
Theft from Vehicle,2022,5,31,15,18,1XX E GEORGIA ST,Central Business District,492708.6744,5458434.4423
Theft from Vehicle,2022,12,17,7,57,1XX E GEORGIA ST,Central Business District,492708.6744,5458434.4423
Theft from Vehicle,2022,8,26,11,30,1XX E HASTINGS ST,Central Business District,492566.4957,5458738.913
Theft from Vehicle,2022,12,12,18,30,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.7436
Theft from Vehicle,2022,12,31,22,0,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.7436
Theft from Vehicle,2022,10,19,20,0,1XX E HASTINGS ST,Central Business District,492636.1816,5458736.5923
Theft from Vehicle,2022,4,1,11,30,1XX E HASTINGS ST,Central Business District,492637.3376,5458745.7041
Theft from Vehicle,2022,4,4,13,49,1XX E PENDER ST,Central Business District,492565.8345,5458632.4699
Theft from Vehicle,2022,6,16,21,30,1XX E PENDER ST,Central Business District,492565.8345,5458632.4699
Theft from Vehicle,2022,8,11,16,0,1XX E PENDER ST,Central Business District,492565.8345,5458632.4699
Theft from Vehicle,2022,10,17,3,40,1XX E PENDER ST,Central Business District,492565.8345,5458632.4699
Theft from Vehicle,2022,12,5,3,17,1XX E PENDER ST,Central Business District,492571.0078,5458632.2725
Theft from Vehicle,2022,12,8,8,37,1XX E PENDER ST,Central Business District,492571.0078,5458632.2725
