TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,11,8,1,0,19XX TRIUMPH ST,Grandview-Woodland,495356.575,5459025.6824
Theft from Vehicle,2018,9,7,18,56,19XX TURNER ST,Grandview-Woodland,495232.4238,5458486.6121
Theft from Vehicle,2018,10,25,17,30,19XX TURNER ST,Grandview-Woodland,495276.7881,5458485.5406
Theft from Vehicle,2018,4,7,22,0,19XX TURNER ST,Grandview-Woodland,495323.838,5458493.5511
Theft from Vehicle,2018,4,11,22,0,19XX VENABLES ST,Grandview-Woodland,495231.0367,5458207.3987
Theft from Vehicle,2018,5,16,19,0,19XX WILLIAM ST,Grandview-Woodland,495221.4878,5457895.7125
Theft from Vehicle,2018,1,26,1,0,19XX WILLIAM ST,Grandview-Woodland,495334.6812,5457887.7647
Theft from Vehicle,2018,7,7,0,0,19XX WILLIAM ST,Grandview-Woodland,495337.7152,5457887.722
Theft from Vehicle,2018,1,1,13,0,19XX WOODLAND DR,Grandview-Woodland,494654.4263,5457230.3647
Theft from Vehicle,2018,1,25,16,58,19XX WOODLAND DR,Grandview-Woodland,494654.4263,5457230.3647
Theft from Vehicle,2018,8,13,2,0,1X LAKEWOOD DR,Grandview-Woodland,495523.1133,5459101.4506
Theft from Vehicle,2018,7,4,21,0,1XX GARDEN DR,Grandview-Woodland,495803.7112,5458997.0233
Theft from Vehicle,2018,8,12,19,0,1XX LAKEWOOD DR,Grandview-Woodland,495520.5422,5458983.293
Theft from Vehicle,2018,7,14,0,0,1XX LAKEWOOD DR,Grandview-Woodland,495520.9866,5459018.691
Theft from Vehicle,2018,12,8,14,48,1XX N TEMPLETON DR,Grandview-Woodland,495662.3099,5459221.0994
Theft from Vehicle,2018,3,4,0,1,1XX SEMLIN DR,Grandview-Woodland,495381.9583,5459019.3541
Theft from Vehicle,2018,3,19,11,0,1XX SEMLIN DR,Grandview-Woodland,495381.9583,5459019.3541
Theft from Vehicle,2018,10,12,18,30,1XX TEMPLETON DR,Grandview-Woodland,495661.6361,5458981.1778
Theft from Vehicle,2018,9,2,12,0,1XX TEMPLETON DR,Grandview-Woodland,495661.8892,5459014.5733
Theft from Vehicle,2018,3,30,9,51,1XX VICTORIA DR,Grandview-Woodland,495238.1692,5459020.104
Theft from Vehicle,2018,12,3,8,0,1XX VICTORIA DR,Grandview-Woodland,495238.1692,5459020.104
Theft from Vehicle,2018,1,4,0,0,20XX ADANAC ST,Grandview-Woodland,495371.0609,5458302.6472
Theft from Vehicle,2018,9,26,20,0,20XX CHARLES ST,Grandview-Woodland,495403.3284,5457810.0564
Theft from Vehicle,2018,3,4,19,0,20XX CLARK DR,Grandview-Woodland,494373.0401,5457130.0747
Theft from Vehicle,2018,9,20,0,0,20XX COMMISSIONER ST,Grandview-Woodland,495510.4353,5459454.4611
Theft from Vehicle,2018,8,3,6,20,20XX DUNDAS ST,Grandview-Woodland,495409.3747,5459114.3306
Theft from Vehicle,2018,2,26,20,0,20XX E 2ND AVE,Grandview-Woodland,495360.1197,5457318.7095
Theft from Vehicle,2018,6,7,1,0,20XX E 4TH AVE,Grandview-Woodland,495453.2332,5457125.0289
Theft from Vehicle,2018,12,25,0,0,20XX E 5TH AVE,Grandview-Woodland,495473.1691,5457024.6631
Theft from Vehicle,2018,5,4,8,0,20XX E 6TH AVE,Grandview-Woodland,495353.3805,5456915.4224
Theft from Vehicle,2018,5,18,18,0,20XX E 6TH AVE,Grandview-Woodland,495353.3805,5456915.4224
Theft from Vehicle,2018,6,21,0,0,20XX E 7TH AVE,Grandview-Woodland,495353.697,5456817.3019
Theft from Vehicle,2018,9,21,21,0,20XX E HASTINGS ST,Grandview-Woodland,495376.0657,5458712.493
Theft from Vehicle,2018,11,17,17,0,20XX E HASTINGS ST,Grandview-Woodland,495419.6318,5458721.0852
Theft from Vehicle,2018,6,14,0,0,20XX FERNDALE ST,Grandview-Woodland,495449.3705,5458551.9075
Theft from Vehicle,2018,12,1,0,0,20XX FRANKLIN ST,Grandview-Woodland,495427.7733,5458815.4018
Theft from Vehicle,2018,1,23,22,30,20XX GRANT ST,Grandview-Woodland,495364.3588,5457610.2217
Theft from Vehicle,2018,3,20,18,30,20XX GRAVELEY ST,Grandview-Woodland,495390.1226,5457518.2233
Theft from Vehicle,2018,3,8,19,0,20XX KITCHENER ST,Grandview-Woodland,495365.846,5457700.7487
Theft from Vehicle,2018,10,21,13,36,20XX KITCHENER ST,Grandview-Woodland,495365.846,5457700.7487
Theft from Vehicle,2018,6,29,19,0,20XX PANDORA ST,Grandview-Woodland,495431.495,5458927.2158
Theft from Vehicle,2018,8,10,0,0,20XX SEMLIN DR,Grandview-Woodland,495357.1558,5457120.0292
Theft from Vehicle,2018,7,4,21,0,20XX TRIUMPH ST,Grandview-Woodland,495424.2821,5459025.3489
Theft from Vehicle,2018,7,4,22,0,20XX TRIUMPH ST,Grandview-Woodland,495424.2821,5459025.3489
Theft from Vehicle,2018,7,13,16,0,20XX TRIUMPH ST,Grandview-Woodland,495424.2821,5459025.3489
Theft from Vehicle,2018,7,21,23,30,20XX TRIUMPH ST,Grandview-Woodland,495424.2821,5459025.3489
Theft from Vehicle,2018,1,10,20,0,20XX TRIUMPH ST,Grandview-Woodland,495458.9507,5459025.176
Theft from Vehicle,2018,3,31,20,32,20XX TURNER ST,Grandview-Woodland,495380.9636,5458483.8151
Theft from Vehicle,2018,10,24,0,30,20XX TURNER ST,Grandview-Woodland,495380.9636,5458483.8151
Theft from Vehicle,2018,5,5,21,0,20XX TURNER ST,Grandview-Woodland,495426.4793,5458483.2477
Theft from Vehicle,2018,7,10,21,30,20XX TURNER ST,Grandview-Woodland,495436.5939,5458483.1216
Theft from Vehicle,2018,11,25,17,0,20XX TURNER ST,Grandview-Woodland,495464.4091,5458482.7749
Theft from Vehicle,2018,4,4,21,30,20XX VENABLES ST,Grandview-Woodland,495410.5374,5458213.3996
Theft from Vehicle,2018,9,6,20,45,20XX WALL ST,Grandview-Woodland,495367.7384,5459132.2371
Theft from Vehicle,2018,8,2,22,30,20XX WALL ST,Grandview-Woodland,495374.3239,5459125.8932
Theft from Vehicle,2018,3,18,16,0,20XX WILLIAM ST,Grandview-Woodland,495378.6295,5457887.1523
Theft from Vehicle,2018,5,16,5,45,20XX WILLIAM ST,Grandview-Woodland,495378.6295,5457887.1523
Theft from Vehicle,2018,11,18,16,0,20XX WILLIAM ST,Grandview-Woodland,495378.6295,5457887.1523
Theft from Vehicle,2018,8,9,21,0,20XX WILLIAM ST,Grandview-Woodland,495426.4988,5457886.6782
Theft from Vehicle,2018,5,7,0,0,20XX WILLIAM ST,Grandview-Woodland,495445.1246,5457886.6418
Theft from Vehicle,2018,5,11,17,0,21XX ADANAC ST,Grandview-Woodland,495521.1714,5458301.2421
Theft from Vehicle,2018,2,3,23,49,21XX COMMERCIAL DR,Grandview-Woodland,494931.9917,5457002.6023
Theft from Vehicle,2018,7,19,11,16,21XX COMMERCIAL DR,Grandview-Woodland,494931.9917,5457002.6023
Theft from Vehicle,2018,4,23,18,24,21XX DUNDAS ST,Grandview-Woodland,495549.7374,5459122.8553
Theft from Vehicle,2018,1,8,19,0,21XX E 2ND AVE,Grandview-Woodland,495600.8276,5457324.4926
Theft from Vehicle,2018,1,10,13,30,21XX E 3RD AVE,Grandview-Woodland,495612.2775,5457223.5886
Theft from Vehicle,2018,8,16,20,0,21XX E 3RD AVE,Grandview-Woodland,495612.2775,5457223.5886
Theft from Vehicle,2018,8,18,17,30,21XX E 5TH AVE,Grandview-Woodland,495497.9638,5457015.2391
Theft from Vehicle,2018,11,20,22,0,21XX E 6TH AVE,Grandview-Woodland,495516.5699,5456922.4506
