TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,3,17,8,19,1XX DUNLEVY AVE,Strathcona,493074.1213,5459028.5913
Theft from Vehicle,2019,11,6,17,0,1XX GORE AVE,Strathcona,492887.7405,5458952.344
Theft from Vehicle,2019,10,16,21,0,1XX GORE AVE,Strathcona,492889.4977,5459038.4719
Theft from Vehicle,2019,4,9,3,0,1XX JACKSON AVE,Strathcona,493208.315,5458984.3818
Theft from Vehicle,2019,6,25,15,0,1XX JACKSON AVE,Strathcona,493208.3849,5458986.6793
Theft from Vehicle,2019,8,28,16,50,1XX JACKSON AVE,Strathcona,493218.138,5459006.5202
Theft from Vehicle,2019,1,23,9,45,1XX MAIN ST,Strathcona,492768.7491,5459038.5902
Theft from Vehicle,2019,6,23,12,7,1XX MAIN ST,Strathcona,492768.7491,5459038.5902
Theft from Vehicle,2019,7,31,14,4,1XX PRINCESS AVE,Strathcona,493359.3794,5459003.9129
Theft from Vehicle,2019,3,21,19,0,1XX PRINCESS AVE,Strathcona,493359.9212,5459020.1421
Theft from Vehicle,2019,5,25,6,0,1XX PRINCESS AVE,Strathcona,493359.9212,5459020.1421
Theft from Vehicle,2019,8,8,7,30,1XX PRINCESS AVE,Strathcona,493359.9212,5459020.1421
Theft from Vehicle,2019,7,19,16,23,20XX CLARK DR,Strathcona,494363.6763,5457086.8626
Theft from Vehicle,2019,10,11,0,0,20XX GLEN DR,Strathcona,494088.9696,5457124.6341
Theft from Vehicle,2019,9,16,17,0,2XX ALEXANDER ST,Strathcona,492770.2976,5459039.1108
Theft from Vehicle,2019,7,6,0,0,2XX ALEXANDER ST,Strathcona,492835.1819,5459045.9407
Theft from Vehicle,2019,9,16,16,0,2XX ALEXANDER ST,Strathcona,492859.0595,5459045.087
Theft from Vehicle,2019,8,16,18,0,2XX CENTRAL ST,Strathcona,492754.3606,5457624.3886
Theft from Vehicle,2019,6,4,16,0,2XX DUNLEVY AVE,Strathcona,493071.3689,5458927.8783
Theft from Vehicle,2019,6,22,0,0,2XX DUNLEVY AVE,Strathcona,493071.3689,5458927.8783
Theft from Vehicle,2019,11,20,18,0,2XX DUNLEVY AVE,Strathcona,493071.3689,5458927.8783
Theft from Vehicle,2019,6,8,19,22,2XX E CORDOVA ST,Strathcona,492761.2975,5458837.2714
Theft from Vehicle,2019,8,12,17,30,2XX E CORDOVA ST,Strathcona,492827.103,5458835.3697
Theft from Vehicle,2019,1,27,18,0,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,1,30,18,45,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,2,22,13,33,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,4,29,20,0,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,4,30,21,45,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,6,14,10,30,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,6,14,12,0,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,6,14,12,46,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,6,19,17,0,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,8,4,21,45,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,8,29,20,0,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2019,10,9,22,0,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
