TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2020,12,29,18,0,20XX BARCLAY ST,West End,489696.7983,5460012.1802
Theft from Vehicle,2020,1,15,3,15,20XX BARCLAY ST,West End,489739.5401,5459965.1672
Theft from Vehicle,2020,4,29,4,0,20XX BARCLAY ST,West End,489742.7441,5459975.2361
Theft from Vehicle,2020,8,29,9,39,20XX BARCLAY ST,West End,489742.7441,5459975.2361
Theft from Vehicle,2020,12,11,9,36,20XX BARCLAY ST,West End,489742.7441,5459975.2361
Theft from Vehicle,2020,5,3,23,0,20XX BARCLAY ST,West End,489751.6487,5459965.4418
Theft from Vehicle,2020,6,12,18,0,20XX BEACH AVE,West End,489357.4157,5459781.7886
Theft from Vehicle,2020,5,16,3,0,20XX COMOX ST,West End,489568.5362,5459834.6951
Theft from Vehicle,2020,4,18,19,0,20XX COMOX ST,West End,489603.0888,5459799.3875
Theft from Vehicle,2020,9,2,21,0,20XX COMOX ST,West End,489605.4108,5459783.9417
Theft from Vehicle,2020,10,24,18,0,20XX HARO ST,West End,489851.5347,5460016.2041
Theft from Vehicle,2020,3,5,5,5,20XX NELSON ST,West End,489626.0313,5459918.9025
Theft from Vehicle,2020,12,9,19,0,20XX NELSON ST,West End,489626.0313,5459918.9025
Theft from Vehicle,2020,1,19,20,0,20XX NELSON ST,West End,489639.8381,5459905.0831
Theft from Vehicle,2020,10,8,17,0,20XX NELSON ST,West End,489639.8381,5459905.0831
Theft from Vehicle,2020,10,8,20,45,20XX NELSON ST,West End,489639.8381,5459905.0831
Theft from Vehicle,2020,5,4,5,10,20XX NELSON ST,West End,489641.091,5459916.7666
Theft from Vehicle,2020,1,26,3,30,20XX PENDRELL ST,West End,489505.029,5459742.898
Theft from Vehicle,2020,3,5,4,0,20XX PENDRELL ST,West End,489505.029,5459742.898
Theft from Vehicle,2020,3,30,8,14,20XX PENDRELL ST,West End,489505.029,5459742.898
Theft from Vehicle,2020,12,30,13,0,20XX PENDRELL ST,West End,489505.029,5459742.898
Theft from Vehicle,2020,12,13,23,15,20XX PENDRELL ST,West End,489546.7558,5459688.6883
Theft from Vehicle,2020,8,22,22,30,20XX PENDRELL ST,West End,489547.8946,5459700.431
Theft from Vehicle,2020,12,16,14,3,20XX PENDRELL ST,West End,489547.8946,5459700.431
Theft from Vehicle,2020,2,14,19,39,6XX DENMAN ST,West End,490235.9762,5459961.6295
Theft from Vehicle,2020,3,7,14,0,6XX DENMAN ST,West End,490235.9762,5459961.6295
Theft from Vehicle,2020,3,20,14,0,6XX DENMAN ST,West End,490235.9762,5459961.6295
Theft from Vehicle,2020,7,19,19,50,6XX DENMAN ST,West End,490235.9762,5459961.6295
Theft from Vehicle,2020,12,31,11,45,6XX DENMAN ST,West End,490235.9762,5459961.6295
Theft from Vehicle,2020,1,3,11,0,6XX DENMAN ST,West End,490237.8325,5459963.421
Theft from Vehicle,2020,2,22,9,20,6XX DENMAN ST,West End,490237.8325,5459963.421
Theft from Vehicle,2020,2,23,12,30,6XX DENMAN ST,West End,490237.8325,5459963.421
Theft from Vehicle,2020,8,8,18,0,6XX DENMAN ST,West End,490237.8325,5459963.421
Theft from Vehicle,2020,1,13,11,30,6XX DENMAN ST,West End,490245.2576,5459970.5867
Theft from Vehicle,2020,9,26,20,20,6XX DENMAN ST,West End,490245.2576,5459970.5867
Theft from Vehicle,2020,4,12,23,30,7XX BROUGHTON ST,West End,490622.2132,5459545.8054
Theft from Vehicle,2020,12,25,22,0,7XX BROUGHTON ST,West End,490622.2132,5459545.8054
Theft from Vehicle,2020,4,29,4,56,7XX BROUGHTON ST,West End,490676.6046,5459586.2936
Theft from Vehicle,2020,5,30,16,30,7XX BROUGHTON ST,West End,490676.6046,5459586.2936
Theft from Vehicle,2020,6,14,14,0,7XX BROUGHTON ST,West End,490676.6046,5459586.2936
Theft from Vehicle,2020,1,17,15,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,1,30,19,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,4,21,8,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,6,12,20,15,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,9,20,12,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,11,8,11,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,11,8,18,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,11,9,9,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,11,15,13,57,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,12,2,15,38,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,12,2,20,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,12,23,20,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2020,2,19,16,0,7XX BUTE ST,West End,490886.9261,5459378.2772
Theft from Vehicle,2020,3,13,17,54,7XX BUTE ST,West End,490886.9261,5459378.2772
Theft from Vehicle,2020,10,4,9,0,7XX CARDERO ST,West End,490398.4733,5459663.4339
Theft from Vehicle,2020,11,22,0,0,7XX CARDERO ST,West End,490398.4733,5459663.4339
Theft from Vehicle,2020,4,22,4,35,7XX CHILCO ST,West End,490010.4317,5460145.6053
Theft from Vehicle,2020,6,8,1,0,7XX CHILCO ST,West End,490010.4317,5460145.6053
Theft from Vehicle,2020,9,30,4,18,7XX CHILCO ST,West End,490015.3249,5460150.4156
Theft from Vehicle,2020,10,14,23,0,7XX CHILCO ST,West End,490015.3249,5460150.4156
Theft from Vehicle,2020,10,15,21,48,7XX CHILCO ST,West End,490015.3249,5460150.4156
Theft from Vehicle,2020,3,18,3,9,7XX JERVIS ST,West End,490661.1763,5459384.5721
Theft from Vehicle,2020,6,24,13,0,7XX THURLOW ST,West End,490940.0632,5459127.7684
Theft from Vehicle,2020,1,27,6,30,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,2,6,8,38,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,2,15,14,0,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,2,15,14,30,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,7,25,12,0,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,11,22,11,30,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,11,23,17,0,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,12,3,9,0,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,12,5,19,2,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,12,18,16,30,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,12,24,15,30,7XX THURLOW ST,West End,490967.2885,5459155.0621
Theft from Vehicle,2020,12,6,11,0,7XX THURLOW ST,West End,490973.6234,5459148.4649
Theft from Vehicle,2020,9,12,23,38,7XX THURLOW ST,West End,491046.5618,5459221.0707
Theft from Vehicle,2020,1,18,23,30,8XX BIDWELL ST,West End,490222.6667,5459718.4756
Theft from Vehicle,2020,9,9,13,39,8XX BROUGHTON ST,West End,490491.6052,5459404.8531
Theft from Vehicle,2020,10,8,23,30,8XX BROUGHTON ST,West End,490549.586,5459464.135
Theft from Vehicle,2020,1,10,23,0,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2020,7,14,16,38,8XX BURRARD ST,West End,491011.453,5458904.2617
