TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,5,21,15,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2019,7,19,14,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2019,12,13,13,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2019,12,20,12,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2019,4,8,8,20,1O W CORDOVA ST,Central Business District,492412.6493,5458864.1862
Theft from Vehicle,2019,5,13,16,0,1X ROBSON ST,Central Business District,491720.0781,5458305.6899
Theft from Vehicle,2019,3,29,18,30,1X W CORDOVA ST,Central Business District,492385.3601,5458872.4547
Theft from Vehicle,2019,9,22,18,0,1X W CORDOVA ST,Central Business District,492385.3601,5458872.4547
Theft from Vehicle,2019,5,31,8,1,1X WATER ST,Central Business District,492396.2784,5458979.5438
Theft from Vehicle,2019,6,22,14,30,1XX ABBOTT ST,Central Business District,492261.1555,5459044.064
Theft from Vehicle,2019,6,10,15,10,1XX ABBOTT ST,Central Business District,492271.2753,5459047.7555
Theft from Vehicle,2019,10,13,7,15,1XX ABBOTT ST,Central Business District,492271.2753,5459047.7555
Theft from Vehicle,2019,10,13,7,30,1XX ABBOTT ST,Central Business District,492271.2753,5459047.7555
Theft from Vehicle,2019,1,15,8,53,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
Theft from Vehicle,2019,6,12,22,30,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
Theft from Vehicle,2019,6,13,22,30,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
Theft from Vehicle,2019,7,19,23,9,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
Theft from Vehicle,2019,8,11,14,0,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
Theft from Vehicle,2019,10,9,23,0,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
Theft from Vehicle,2019,10,16,23,15,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
