TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,11,17,20,17,1XX DUNLEVY AVE,Strathcona,493074.2169,5459032.1055
Theft from Vehicle,2018,1,30,18,0,1XX GORE AVE,Strathcona,492891.7091,5459012.8074
Theft from Vehicle,2018,4,18,6,35,1XX HAWKS AVE,Strathcona,493669.5955,5458980.3727
Theft from Vehicle,2018,4,5,9,0,1XX HEATLEY AVE,Strathcona,493504.0949,5459020.5279
Theft from Vehicle,2018,11,26,8,0,1XX JACKSON AVE,Strathcona,493208.3849,5458986.6793
Theft from Vehicle,2018,1,16,22,29,1XX MAIN ST,Strathcona,492768.9288,5459042.1015
Theft from Vehicle,2018,6,13,8,30,1XX MAIN ST,Strathcona,492768.9288,5459042.1015
Theft from Vehicle,2018,9,6,13,0,1XX PRINCESS AVE,Strathcona,493359.3794,5459003.9129
Theft from Vehicle,2018,6,13,4,23,1XX PRINCESS AVE,Strathcona,493360.0366,5459023.6149
Theft from Vehicle,2018,5,11,4,50,20XX CLARK DR,Strathcona,494363.6763,5457086.8626
Theft from Vehicle,2018,5,16,20,35,2XX ALEXANDER ST,Strathcona,492767.8903,5459039.1965
Theft from Vehicle,2018,9,21,23,0,2XX ALEXANDER ST,Strathcona,492767.8903,5459039.1965
Theft from Vehicle,2018,9,10,21,0,2XX ALEXANDER ST,Strathcona,492869.8189,5459044.7025
Theft from Vehicle,2018,9,8,20,0,2XX CENTRAL ST,Strathcona,492757.9072,5457632.8168
Theft from Vehicle,2018,12,9,1,0,2XX DUNLEVY AVE,Strathcona,493071.4675,5458931.4982
Theft from Vehicle,2018,11,26,0,0,2XX E 1ST AVE,Strathcona,492821.8053,5457383.9482
Theft from Vehicle,2018,12,31,18,30,2XX E 1ST AVE,Strathcona,492839.3438,5457368.5213
Theft from Vehicle,2018,1,17,20,0,2XX E CORDOVA ST,Strathcona,492755.5644,5458837.4373
Theft from Vehicle,2018,7,24,8,50,2XX E CORDOVA ST,Strathcona,492755.5644,5458837.4373
Theft from Vehicle,2018,9,18,22,46,2XX E CORDOVA ST,Strathcona,492755.5644,5458837.4373
Theft from Vehicle,2018,11,2,20,0,2XX E CORDOVA ST,Strathcona,492755.5644,5458837.4373
Theft from Vehicle,2018,7,6,8,8,2XX E CORDOVA ST,Strathcona,492808.2006,5458835.9159
Theft from Vehicle,2018,4,21,23,30,2XX E CORDOVA ST,Strathcona,492873.3575,5458834.033
Theft from Vehicle,2018,2,18,19,30,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2018,3,21,4,36,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2018,6,2,2,0,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2018,6,2,13,24,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2018,8,9,18,0,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2018,9,12,14,42,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2018,11,4,15,21,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2018,12,3,18,6,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2018,12,21,15,0,2XX E GEORGIA ST,Strathcona,492760.2979,5458423.5689
Theft from Vehicle,2018,1,9,12,11,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,1,10,0,1,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,1,18,8,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,1,28,8,30,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,2,5,8,30,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,2,5,18,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,2,14,12,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,4,16,8,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,4,17,9,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,6,4,14,1,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,6,5,13,30,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,8,8,0,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,8,10,19,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,8,19,17,51,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,8,20,15,30,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,9,27,14,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,11,11,23,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,12,17,12,30,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,12,18,8,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2018,4,20,16,0,2XX E GEORGIA ST,Strathcona,492776.0464,5458432.3611
Theft from Vehicle,2018,8,26,21,0,2XX E GEORGIA ST,Strathcona,492779.9322,5458432.2737
Theft from Vehicle,2018,3,5,12,0,2XX E GEORGIA ST,Strathcona,492783.8179,5458432.1863
Theft from Vehicle,2018,1,7,1,20,2XX E GEORGIA ST,Strathcona,492787.7036,5458432.099
Theft from Vehicle,2018,1,12,17,0,2XX E GEORGIA ST,Strathcona,492820.5789,5458431.3596
Theft from Vehicle,2018,7,3,17,0,2XX E GEORGIA ST,Strathcona,492916.3825,5458420.0583
Theft from Vehicle,2018,11,30,17,0,2XX E HASTINGS ST,Strathcona,492751.4507,5458732.7678
Theft from Vehicle,2018,1,8,12,20,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,1,9,7,0,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,3,31,20,59,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,5,8,23,0,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,6,2,1,0,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,7,18,17,30,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,9,9,21,53,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,11,3,20,0,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,11,8,23,37,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2018,2,13,22,0,2XX E PENDER ST,Strathcona,492801.0095,5458632.9705
Theft from Vehicle,2018,10,21,3,0,2XX E PENDER ST,Strathcona,492801.0095,5458632.9705
Theft from Vehicle,2018,11,7,19,0,2XX E PENDER ST,Strathcona,492801.0095,5458632.9705
Theft from Vehicle,2018,11,8,11,0,2XX E PENDER ST,Strathcona,492801.0095,5458632.9705
Theft from Vehicle,2018,11,8,20,45,2XX E PENDER ST,Strathcona,492801.0095,5458632.9705
Theft from Vehicle,2018,12,6,8,0,2XX E PENDER ST,Strathcona,492805.3223,5458623.6917
Theft from Vehicle,2018,4,3,15,30,2XX E PENDER ST,Strathcona,492857.7178,5458631.2499
Theft from Vehicle,2018,5,9,21,22,2XX GLEN DR,Strathcona,494093.7825,5458842.2356
Theft from Vehicle,2018,5,1,0,0,2XX HAWKS AVE,Strathcona,493671.9526,5458913.2595
