TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,3,20,21,30,20XX BARCLAY ST,West End,489777.0972,5459923.8564
Theft from Vehicle,2018,6,14,19,15,20XX BARCLAY ST,West End,489777.0972,5459923.8564
Theft from Vehicle,2018,10,4,13,0,20XX BARCLAY ST,West End,489777.0972,5459923.8564
Theft from Vehicle,2018,10,29,20,0,20XX BEACH AVE,West End,489357.4157,5459781.7886
Theft from Vehicle,2018,7,27,21,0,20XX BEACH AVE,West End,489419.867,5459742.831
Theft from Vehicle,2018,8,16,19,0,20XX BEACH AVE,West End,489419.867,5459742.831
Theft from Vehicle,2018,11,13,18,30,20XX BEACH AVE,West End,489461.0121,5459701.7633
Theft from Vehicle,2018,7,26,7,13,20XX COMOX ST,West End,489548.838,5459841.7501
Theft from Vehicle,2018,8,17,15,0,20XX COMOX ST,West End,489548.838,5459841.7501
Theft from Vehicle,2018,12,13,18,0,20XX COMOX ST,West End,489548.838,5459841.7501
Theft from Vehicle,2018,11,5,21,0,20XX COMOX ST,West End,489568.5362,5459834.6951
Theft from Vehicle,2018,2,3,9,31,20XX COMOX ST,West End,489603.0888,5459799.3875
Theft from Vehicle,2018,5,12,21,0,20XX COMOX ST,West End,489622.8793,5459766.0909
Theft from Vehicle,2018,11,9,0,52,20XX COMOX ST,West End,489622.8793,5459766.0909
Theft from Vehicle,2018,5,4,18,6,20XX NELSON ST,West End,489591.6325,5459960.2173
Theft from Vehicle,2018,5,6,11,3,20XX NELSON ST,West End,489591.6325,5459960.2173
Theft from Vehicle,2018,5,16,18,0,20XX NELSON ST,West End,489625.97,5459918.964
Theft from Vehicle,2018,5,26,1,0,20XX NELSON ST,West End,489625.97,5459918.964
Theft from Vehicle,2018,8,18,20,30,20XX NELSON ST,West End,489625.97,5459918.964
Theft from Vehicle,2018,8,18,22,30,20XX NELSON ST,West End,489625.97,5459918.964
Theft from Vehicle,2018,9,21,7,30,20XX NELSON ST,West End,489625.97,5459918.964
Theft from Vehicle,2018,3,16,22,30,20XX NELSON ST,West End,489640.3904,5459904.5304
